key,value
meta_title,"Heerawalla | Fine jewelry crafted with precision"
meta_description,"Discover Heerawalla's inspirational fine jewelry - ethical stones, precious metals, and timeless minimal silhouettes."
hero_title,"Heirloom pieces for modern collectors"
hero_subtitle,"Hand-finished gold, diamonds, and precious stones with timeless minimalism."
hero_cta_label,"View collections"
hero_cta_link,"/collections"
contact_email,"support@heerawalla.com"
webmail_compose_url,"https://mail.google.com/mail/?view=cm&fs=1&to="
newsletter_email,"info@heerawalla.com"
newsletter_subject,"Join Heerawalla"
newsletter_body,"Please add me to the Heerawalla list."
orders_email,"orders@heerawalla.com"
consultation_booking_link,"https://calendar.google.com/calendar/appointments/schedules/AcZssZ0syAfIydQJsRwm2FovSPItSvwSQFRmytbKkOYUj5kUiPHhjOR2C_G90dnkPZk5c3np6Z7oZxj-?gv=true"
calendar_api_base,"https://herawalla-email-atelier.arifmanasiya.workers.dev/calendar"
atelier_api_base,"https://herawalla-email-atelier.arifmanasiya.workers.dev"
order_confirmation_api_base,"https://admin-api.heerawalla.com"
order_cancel_api_base,"https://admin-api.heerawalla.com"
order_authenticity_api_base,"https://admin-api.heerawalla.com"
consultation_fee_mode,"free"
about_title,"About Heerawalla"
about_description,"Heerawalla crafts minimal, luxurious jewelry with ethical sourcing and meticulous finishing."
