id,name,slug,description,short_desc,long_desc,hero_image,collection,categories,gender,styles,motifs,metals,stone_types,stone_weight,metal_weight,palette,takeaways,translation_notes,design_code,cut,clarity,color,carat,price_usd_natural,estimated_price_usd_vvs1_vvs2_18k,lab_discount_pct,metal_platinum_premium,metal_14k_discount_pct,is_active,is_featured,tags
insp-0008,Chevron Laurel Collar,chevron-laurel-collar,,"A refined women's necklace defined by articulated chevron leaves, rhythmic repetition, and controlled brilliance.","An elevated starting point inspired by laurel and chevron motifs - where articulated gold elements and diamond accents create a structured yet fluid collar that balances precision, movement, and understated luxury.",/images/inspirations/insp-0008.jpeg,,set,female,Axis,Axis-like|Chevron|Leaf|Articulated,yellow|white,Natural Diamond | Lab Grown Diamond,1.5,25,metal:18K Yellow Gold|stone:Lab Diamond,Chevron leaf repetition establishes rhythm and elegance.|Articulated links allow fluid movement while maintaining structure.|Diamonds act as subtle punctuation rather than dominant focal points.|The collar reads luxurious yet restrained across the neckline.,Translate chevron geometry into proprietary Heerawalla proportions.|Maintain articulation to ensure comfort and natural drape.|Control diamond scale to preserve refinement and avoid excess sparkle.|Ensure seamless transitions between gold and diamond-accented elements.,,,,,,,15000,,,,,,chevron|laurel|articulated|refined
insp-0009,Studded Velocity Collar,studded-velocity-collar,,"A bold women's jewelry set defined by sculptural stud geometry, rhythmic repetition, and assertive metallic presence.","A high-impact, modern inspiration where precision-cut stud elements form a continuous collar and bracelet - balancing strength, sensuality, and controlled aggression with refined wearability.",/images/inspirations/insp-0009.jpeg,,set,female,Eclipse,Eclipse-like|Studded|Geometric|Architectural,white,Natural Diamond | Lab Grown Diamond,,,metal:White Gold|stone:None,"Repeating stud geometry creates a powerful visual cadence.|High-polish metal surfaces deliver impact without reliance on diamonds.|Articulated construction ensures comfort while preserving rigidity.|The set reads confident, modern, and unapologetically strong across necklace and bracelet.",Translate stud proportions into Heerawalla's proprietary geometry language.|Maintain articulation to avoid stiffness while preserving edge.|Control stud height to balance boldness with everyday wearability.|Ensure mirror-polish finishing for maximum light reflection and precision.,,,,,,,,,,,,,bold|sculptural|rhythmic|assertive
insp-0003,Spiral Continuum,spiral-continuum,,A rose-gold spiral composition defined by rhythmic coils and diamond-set continuity.,"A fluid Continuum-inspired starting point where spiraling geometry creates motion, depth, and sensual elegance - balancing sculptural form with controlled brilliance.",/images/inspirations/insp-0003.jpeg,,set,female,Continuum,Continuum-like|Spiral|Flowing,rose,Natural Diamond | Lab Grown Diamond,,,metal:Rose Gold|stone:Lab Diamond,Spiral geometry creates visual motion and softness.|Diamonds follow form rather than dominate it.|Graduated elements establish rhythm and hierarchy.,Translate spiral logic into proprietary Heerawalla proportions.|Control coil spacing for lightness and wearability.|Maintain fluid articulation without visual breaks.,,,,,,,,,,,,,spiral|fluid|luminous
insp-0006,Axis Lumina Set,axis-lumina-set,,"A refined women's jewelry set defined by luminous diamonds, softened geometry, and harmonious balance.","An Axis-inspired composition where precision meets elegance - clean lines are softened through proportion and light, creating a feminine expression of symmetry, clarity, and modern refinement.",/images/inspirations/insp-0006.png,,set,female,Axis,Axis-like|Balanced|Refined,white,Natural Diamond | Lab Grown Diamond,,,metal:White Gold|stone:Lab Diamond,"Symmetrical design language delivers a calm and composed visual rhythm.|Diamonds are positioned to enhance light flow and elegance rather than excess.|Softened edges maintain femininity while preserving structural clarity.|The set is designed to feel cohesive across necklace, earrings, and bracelet.",Preserve proportional harmony across all pieces in the set.|Ensure diamond alignment reinforces symmetry and light balance.|Avoid excessive metal thickness to retain elegance and wearability.|Maintain Axis geometry while introducing subtle softness for a feminine finish.,,,,,,,,,,,,,axis|balanced|luminous|feminine
insp-0005,Axis Forge Bracelet,axis-forge-bracelet,,"A sculpted men's bracelet defined by linear balance, restrained diamond accents, and engineered symmetry.","An Axis-led inspiration where structured geometry and controlled repetition express strength, precision, and modern masculinity - eschewing ornamentation in favor of intentional form and balance.",/images/inspirations/insp-0005.png,,bracelet,male,Axis,Axis-like|Linear|Structured,yellow,Natural Diamond | Lab Grown Diamond,,,metal:Yellow Gold|stone:Lab Diamond,"Linear segments establish visual strength and order.|Diamonds are used sparingly to emphasize structure rather than decoration.|Balanced proportions ensure a confident, masculine presence.|Bracelet design prioritizes wearability and durability for everyday use.",Maintain strict symmetry and consistent spacing across segments.|Keep diamond scale subtle to preserve a masculine aesthetic.|Ensure clasp integration is seamless and structurally sound.|Design articulation to allow comfort without breaking linear continuity.,,,,,,,,,,,,,axis|linear|balanced|masculine
insp-0004,Spiral Reverie Set,spiral-reverie-set,,A rose-gold spiral set defined by cascading coils and diamond-lined rhythm.,"A Continuum-led inspiration where spiral geometry unfolds across necklace, earrings, and bracelet - creating a sense of motion, sensuality, and sculptural elegance without relying on rigid symmetry.",/images/inspirations/insp-0004.png,,set,female,Continuum,Continuum-like|Spiral|Flowing,rose,Natural Diamond | Lab Grown Diamond,,,metal:Rose Gold|stone:Lab Diamond,"Spiral forms create fluid motion and visual softness.|Cascading elements establish rhythm and hierarchy across the set.|Diamonds accent form rather than dominate it.|Bracelet extends the spiral language into a wearable, everyday expression.",Translate spiral geometry into proprietary Heerawalla proportions.|Control coil spacing to preserve lightness and avoid visual clutter.|Ensure articulation allows natural drape on neck and wrist.|Limit diamond density to maintain elegance and comfort.,,,,,,,,,,,,,spiral|cascading|sensual
insp-0007,Regal Filigree Cascade,regal-filigree-cascade,,"An opulent women's jewelry set defined by intricate gold filigree, pear-drop motifs, and ceremonial brilliance.","A heritage-inspired composition where classical filigree craftsmanship meets refined diamond articulation - designed for grandeur, celebration, and unmistakable presence while retaining balance and grace.",/images/inspirations/insp-0007.png,,set,female,Continuum,Continuum-like|Filigree|Pear Drop|Ornamental,yellow,Natural Diamond | Lab Grown Diamond,,,metal:18K Yellow Gold|stone:Lab Diamond,Filigree latticework creates richness without visual heaviness.|Pear-drop elements introduce movement and ceremonial elegance.|Diamond placement emphasizes pattern and flow rather than singular focal stones.|The set reads cohesive and regal across necklace and earrings.,Translate ornamental filigree into Heerawalla's refined proportions.|Maintain negative space within lattice to preserve lightness.|Control drop length and articulation for comfort and stability.|Ensure high-polish gold surfaces contrast cleanly with pave detailing.,,,,,,,,,,,,,ornate|filigree|ceremonial|luxurious
insp-0002,Luminous Orbit Set,luminous-orbit-set,,A refined diamond set defined by circular motifs and fluid pave detailing.,"An elegant inspiration set for clients drawn to timeless symmetry and graceful motion, where concentric forms and soft curves create a balanced, luminous presence across necklace, earrings, and ring.",/images/inspirations/insp-0002.jpeg,,set,unisex,Continuum,Continuum-like|Circular|Flowing,white|yellow,Natural Diamond | Lab Grown Diamond,,,metal:18K Yellow Gold|stone:Lab Diamond,Circular motifs create harmony and visual continuity across the set.|Pave diamonds act as a continuous halo rather than focal points.|Balanced scale delivers elegance without excess.,Translate concentric forms into Heerawalla's proprietary proportions.|Maintain fluid articulation for comfort and drape.|Control pave density to preserve lightness and refined brilliance.,,,,,,,,,,,,,luminous|circular|elegant
insp-0001,Regal Orbit Cascade,regal-orbit-cascade,,"A refined station necklace with cushion halos and a pear-drop finale, paired with matching pear-drop earrings and a slim pave bangle.","This inspiration reads like modern heirloom: a disciplined line of halo-set stations linked by polished gold marquise connectors, culminating in a pear-drop pendant that adds soft movement without breaking symmetry. The matching earrings echo the drop silhouette for a cohesive, formal set, while the slim pave bangle keeps the look light and wearable - diamond-forward, elegant, and event-ready.",/images/inspirations/insp-0001.jpeg,,set,unisex,Modern,Continuum-like|Halo|Pear Drop|Station,white|yellow,Natural Diamond | Lab Grown Diamond,,,metal:Yellow Gold|stone:Lab Diamond,"Station halos create a rhythmic, high-brilliance neckline.|Pear-drop finale adds graceful movement and a focal finish.|Gold marquise connectors introduce negative space and articulation.|Matching earrings complete the vertical story without excess.|Slim pave bangle balances the set with everyday wearability.","Keep halo thickness slim and consistent across all stations for a clean read.|Use micro-pave with tight, even beadwork; avoid bulky walls.|Ensure articulated connectors are comfort-safe (no pinch points) and sit flat on collarbone.|Design pendant drop to be removable or adjustable for versatility.|Offer 16-18in adjustable length with secure clasp and safety latch option.",,,,,,,,,,,,,heirloom-modern|halo-stations|pear-drop|formal
insp-0010,Convergence Axis Set,convergence-axis-set,,"A modern white-gold diamond set defined by fluid crossover geometry, featuring a slim bangle, sculpted pendant, refined drop earrings, and a crossover ring.","This inspiration expresses contemporary elegance through controlled motion: softly tapered white-gold forms converge at deliberate junctions, highlighted by restrained pave diamond accents. The bangle anchors the set with a graceful crossover focal point, while the pendant translates the same geometry into a vertical, elongated silhouette. Matching earrings mirror the converging lines for visual continuity, and the crossover ring completes the set with a refined, everyday-wearable statement - balanced, architectural, and unmistakably modern.",/images/inspirations/insp-0010.png,,set,female,Axis,Axis-like|Crossover|Convergence|Fluid Geometry,white,Natural Diamond | Lab Grown Diamond,,,metal:18K White Gold|stone:Lab Diamond,"Crossover geometry creates visual tension resolved through balance.|Diamond placement is concentrated only at convergence points for a disciplined, architectural read.|Slim white-gold profiles maintain lightness and everyday wearability.|Each piece translates the same core form without repetition or heaviness.|The full set reads cohesive yet allows each piece to stand independently.","Maintain soft tapering on all gold arms - avoid sharp or aggressive tips.|Keep pave limited to convergence zones to preserve negative space.|Ensure bangle and ring have comfort-safe inner contours for daily wear.|Match diamond size graduation consistently across all pieces.|Finish in high-polish white gold with clean, minimal prongs for a crisp modern look.",,,,,,,,,,,,,modern-elegance|crossover-flow|architectural|balanced
