id,name,slug,description,short_desc,long_desc,hero_image,collection,categories,gender,styles,motifs,metals,stone_types,stone_weight,metal_weight,palette,takeaways,translation_notes,design_code,cut,clarity,color,carat,price_usd_natural,estimated_price_usd_vvs1_vvs2_18k,lab_discount_pct,metal_platinum_premium,metal_14k_discount_pct,is_active,is_featured,tags
hw-001,Signature - Legacy,legacy-band,Signature positions it as the definitive men's ring.,,,,Signature,men/bands,,,,18k Yellow / White Gold,Natural Diamond | Lab Grown Diamond,,,,,,Signature,Ideal,VVS1 - VVS2,E,1,3500,,-20,10,-5,TRUE,FALSE,band
hms-001,Axis - Apex,hms-001,"18K gold composition with VVS1 diamonds, ideal cut, E color.",,,,Axis,men/sets,,,,18K Gold,Natural Diamond | Lab Grown Diamond,,,,,,Axis,Ideal,VVS1 - VVS2,E,1,11735.29,,-20,10,-5,TRUE,TRUE,design-code
hms-002,Eclipse - Sovereign,hms-002,"A commanding Eclipse composition in 18K gold with VVS1 diamonds and a precise, magnetic presence.",,,,Eclipse,men/sets,,,,18K Gold,Natural Diamond | Lab Grown Diamond,,,,,,Eclipse,Ideal,VVS1,E,1,20000,,-20,10,-5,TRUE,TRUE,design-code
hw-003,Solitaire Diamond Pendant,solitaire-pendant,Minimal oval pendant with bezel-framed emerald on fine chain.,,,,Signature,women/pendants,,,,18k Yellow/White Gold,Natural Diamond | Lab Grown Diamond,,,,,,Signature,Ideal,VVS1 - VVS2,E,1,3903.53,,-20,10,-5,TRUE,FALSE,emerald
hwp-001,Axis Emblem Pendant,axis-emblem-pendant,"Unisex Axis pendant with circular line geometry and a single diamond, refined for daily wear.",,,,Axis,unisex/pendants,,,,18K Gold,Natural Diamond | Lab Grown Diamond,,,,,,Axis,Ideal,VVS1 - VVS2,E,1,2500,,-20,10,-5,TRUE,TRUE,design-code|unisex|daily
hwp-002,Axis Meridian Pendant,axis-meridian-pendant,"Unisex Axis pendant with circular geometry, prong-set diamonds, and an engraved signature mark.",,,,Axis,unisex/pendants,,,,18K Gold,Natural Diamond | Lab Grown Diamond,,,,,,Axis,Ideal,VVS1 - VVS2,E,1,4999,,-20,10,-5,TRUE,FALSE,design-code|unisex|daily
hw-002,Azure Solitaire,azure-solitaire,Brilliant-cut diamond solitaire on a slender platinum band.,,,,Signature,women/rings,,,,Platinum,Natural Diamond | Lab Grown Diamond,,,,,,Signature,Ideal,VVS1 - VVS2,E,1,5336.47,,-20,10,-5,FALSE,FALSE,diamond
hws-001,Eclipse - Twist,hws-001,"18K gold composition with VVS1 diamonds, ideal cut, E color.",,,,Eclipse,women/sets,,,,18K Gold,Natural Diamond | Lab Grown Diamond,,,,,,Eclipse,Ideal,VVS1 - VVS2,E,1,13588.24,,-20,10,-5,TRUE,TRUE,design-code
hws-002,Continuum - Aurelia Flow,hws-002,"18K gold composition with VVS1 diamonds, ideal cut, E color.",,,,Continuum,women/sets,,,,18K Gold,Natural Diamond | Lab Grown Diamond,,,,,,Continuum,Ideal,VVS1 - VVS2,E,1,15441.18,,-20,10,-5,TRUE,TRUE,design-code
hws-003,Axis - Poise,hws-003,"18K gold composition with VVS1 diamonds, ideal cut, E color.",,,,Axis,women/sets,,,,18K Gold,Natural Diamond | Lab Grown Diamond,,,,,,Axis,Ideal,VVS1 - VVS2,E,1,12352.94,,-20,10,-5,TRUE,TRUE,design-code
hws-004,Continuum - Elan Drop,pear-symmetry,"Pear-shaped and perfectly mirrored, this composition balances soft curvature with architectural symmetry for a luminous, poised presence.",,,,Continuum,women/sets,,,,18K Gold,Natural Diamond | Lab Grown Diamond,,,,,,Continuum,Ideal,VVS1 - VVS2,E,1,12631.58,,-20,10,-5,TRUE,TRUE,design-code
hws-005,Axis - Equilibria,axis-equilibria,"Perfectly aligned. Endlessly brilliant. Axis - Equilibria pairs precise lines with lab-grown diamonds for a calm, architectural glow.",,,,Axis,women/sets,,,,18K Gold,Natural Diamond | Lab Grown Diamond,,,,,,Axis,Ideal,VVS1 - VVS2,E,1,9210.53,,-20,10,-5,TRUE,TRUE,design-code
hws-006,Continuum - Solitaire,continuum-solitaire,A solitaire-led composition shaped by fluid proportion and quiet precision. Lab-grown diamonds keep the light clean and continuous.,,,,Continuum,women/sets,,,,18K Gold,Natural Diamond | Lab Grown Diamond,,,,,,Continuum,Ideal,VVS1 - VVS2,E,1,25000,,-20,10,-5,TRUE,TRUE,design-code
hws-007,Continuum - Helix,continuum-helix,"Fluid twist composition in 18K gold with VVS1 diamonds, ideal cut, E color.",,,,Continuum,women/sets,,,,18K Gold,Natural Diamond | Lab Grown Diamond,,,,,,Continuum,Ideal,VVS1 - VVS2,E,1,15441.18,,-20,10,-5,TRUE,TRUE,design-code
hws-008,Eclipse - Ascende,eclipse-ascende,"18K gold composition with VVS1 diamonds, ideal cut, E color.",,,,Eclipse,women/sets,,,,18K Gold,Natural Diamond | Lab Grown Diamond,,,,,,Eclipse,Ideal,VVS1 - VVS2,E,1,6000,,-20,10,-5,TRUE,TRUE,design-code
